sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels
MQSFAFM-6-Case of 60,,Mouthwash Attribute Set,simple,"Default Category,Default Category/Personal Care,Default Category/Personal Care/Oral Care",base,MediQuip SparkleFresh Alcohol-Free Mouthwash-6-Case of 60,,,20,1,Taxable Goods,Not Visible Individually,30,,,,mediquip-sparklefresh-alcohol-free-mouthwash-6-case-of-60,MediQuip SparkleFresh Alcohol-Free Mouthwash,MediQuip SparkleFresh Alcohol-Free Mouthwash,MediQuip SparkleFresh Alcohol-Free Mouthwash ,,,,,,,,,"12/2/22, 11:46 PM","12/2/22, 11:46 PM",,,Block after Info Column,,,,No,,,,,Product -- Full Width,,,,"mouthwash_ounce=6,mouthwash_pack_size=Case of 60",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
MQSFAFM-6-Case of 12,,Mouthwash Attribute Set,simple,"Default Category,Default Category/Personal Care,Default Category/Personal Care/Oral Care",base,MediQuip SparkleFresh Alcohol-Free Mouthwash-6-Case of 12 ,,,14,1,Taxable Goods,Not Visible Individually,25,,,,mediquip-sparklefresh-alcohol-free-mouthwash-6-case-of-12,MediQuip SparkleFresh Alcohol-Free Mouthwash,MediQuip SparkleFresh Alcohol-Free Mouthwash,MediQuip SparkleFresh Alcohol-Free Mouthwash ,,,,,,,,,"12/2/22, 11:46 PM","12/2/22, 11:46 PM",,,Block after Info Column,,,,No,,,,,Product -- Full Width,,,,"mouthwash_ounce=6,mouthwash_pack_size=Case of 12",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
MQSFAFM-6-Each,,Mouthwash Attribute Set,simple,"Default Category,Default Category/Personal Care,Default Category/Personal Care/Oral Care",base,MediQuip SparkleFresh Alcohol-Free Mouthwash-6-Each,,,2.5,1,Taxable Goods,Not Visible Individually,12,,,,mediquip-sparklefresh-alcohol-free-mouthwash-6-each,MediQuip SparkleFresh Alcohol-Free Mouthwash,MediQuip SparkleFresh Alcohol-Free Mouthwash,MediQuip SparkleFresh Alcohol-Free Mouthwash ,,,,,,,,,"12/2/22, 11:46 PM","12/2/22, 11:46 PM",,,Block after Info Column,,,,No,,,,,Product -- Full Width,,,,"mouthwash_ounce=6,mouthwash_pack_size=Each",100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
MQSFAFM,,Mouthwash Attribute Set,configurable,"Default Category,Default Category/Personal Care,Default Category/Personal Care/Oral Care",base,MediQuip SparkleFresh Alcohol-Free Mouthwash,,,,1,Taxable Goods,"Catalog, Search",,,,,mediquip-sparklefresh-alcohol-free-mouthwash,MediQuip SparkleFresh Alcohol-Free Mouthwash,MediQuip SparkleFresh Alcohol-Free Mouthwash,MediQuip SparkleFresh Alcohol-Free Mouthwash ,,,,,,,,,"12/2/22, 11:46 PM","12/2/22, 11:46 PM",,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,,0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,"sku=MQSFAFM-2-Each,mouthwash_ounce=2,mouthwash_pack_size=Each|sku=MQSFAFM-2-Case of 12,mouthwash_ounce=2,mouthwash_pack_size=Case of 12 |sku=MQSFAFM-2-Case of 60,mouthwash_ounce=2,mouthwash_pack_size=Case of 60|sku=MQSFAFM-4-Each,mouthwash_ounce=4,mouthwash_pack_size=Each|sku=MQSFAFM-4-Case of 12,mouthwash_ounce=4,mouthwash_pack_size=Case of 12 |sku=MQSFAFM-4-Case of 60,mouthwash_ounce=4,mouthwash_pack_size=Case of 60|sku=MQSFAFM-6-Each,mouthwash_ounce=6,mouthwash_pack_size=Each|sku=MQSFAFM-6-Case of 12,mouthwash_ounce=6,mouthwash_pack_size=Case of 12 |sku=MQSFAFM-6-Case of 60,mouthwash_ounce=6,mouthwash_pack_size=Case of 60","mouthwash_ounce=Mouthwash Ounce,mouthwash_pack_size=Mouthwash Pack Size"
MQOBP275CT,,Default,simple,"Default Category,Default Category/Personal Care,Default Category/Personal Care/Oral Care",base,MediQuip Oral BrushPicks 275Ct,,,0.25,1,Taxable Goods,"Catalog, Search",3.5,,,,mediquip-oral-brushpicks,MediQuip Oral BrushPicks 275Ct,MediQuip Oral BrushPicks 275Ct,MediQuip Oral BrushPicks 275Ct ,,,,,,,,,"12/2/22, 11:51 PM","12/2/22, 11:51 PM",,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,,100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
MQG2BGM1C,,Default,simple,"Default Category,Default Category/Diabetes Care,Default Category/Diabetes Care/Diabetes Monitors",base,MediQuip G2 Blood Glucose Monitor 1Ct,,,0.2,1,Taxable Goods,"Catalog, Search",25,,,,mediquip-g2-blood-glucose-monitor,MediQuip G2 Blood Glucose Monitor 1Ct,MediQuip G2 Blood Glucose Monitor 1Ct,MediQuip G2 Blood Glucose Monitor 1Ct ,,,,,,,,,"12/2/22, 11:54 PM","12/2/22, 11:54 PM",,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,,100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
MQG2BGMSK26,,Default,simple,"Default Category,Default Category/Diabetes Care,Default Category/Diabetes Care/Diabetes Monitors",base,MediQuip G2 Blood Glucose Monitor + Starter Kit 26Pc,,,1,1,Taxable Goods,"Catalog, Search",35,,,,mediquip-g2-blood-glucose-monitor-26,MediQuip G2 Blood Glucose Monitor + Starter Kit 26Pc,MediQuip G2 Blood Glucose Monitor + Starter Kit 26Pc,MediQuip G2 Blood Glucose Monitor + Starter Kit 26Pc ,,,,,,,,,"12/2/22, 11:57 PM","12/2/22, 11:57 PM",,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,,100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
MQSUGPL,,Default,simple,"Default Category,Default Category/Diabetes Care,Default Category/Diabetes Care/Lancets",base,MediQuip Single-Use General Purpose Lancets,,,0.2,1,Taxable Goods,"Catalog, Search",7.5,,,,mediquip-single-use-general-purpose-lancets,MediQuip Single-Use General Purpose Lancets,MediQuip Single-Use General Purpose Lancets,MediQuip Single-Use General Purpose Lancets ,,,,,,,,,"12/3/22, 12:00 AM","12/3/22, 12:03 AM",,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,,100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
MQALD,,Default,simple,"Default Category,Default Category/Diabetes Care,Default Category/Diabetes Care/Lancets",base,MediQuip Adjustable Lancing Device,,,0.25,1,Taxable Goods,"Catalog, Search",10,,,,mediquip-adjustable-lancing-device,MediQuip Adjustable Lancing Device,MediQuip Adjustable Lancing Device,MediQuip Adjustable Lancing Device ,,,,,,,,,"12/3/22, 12:02 AM","12/3/22, 12:02 AM",,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,,100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
MQIPN,,Default,simple,"Default Category,Default Category/Diabetes Care,Default Category/Diabetes Care/Lancets",base,MediQuip Insulin Pen Needles,,,0.15,1,Taxable Goods,"Catalog, Search",5,,,,mediquip-insulin-pen-needles,MediQuip Insulin Pen Needles,MediQuip Insulin Pen Needles,MediQuip Insulin Pen Needles ,,,,,,,,,"12/3/22, 12:04 AM","12/3/22, 12:04 AM",,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,,100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
MQG2BGTS50CT,,Default,simple,"Default Category,Default Category/Diabetes Care,Default Category/Diabetes Care/Test Strips",base,MediQuip G2 Blood Glucose Test Strips 50Ct,,,0.25,1,Taxable Goods,"Catalog, Search",7.5,,,,mediquip-g2-blood-glucose-test-strips-50-ct,MediQuip G2 Blood Glucose Test Strips 50Ct,MediQuip G2 Blood Glucose Test Strips 50Ct,MediQuip G2 Blood Glucose Test Strips 50Ct ,,,,,,,,,"12/3/22, 12:07 AM","12/3/22, 12:07 AM",,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,,100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
MQG2BGTS600CT,,Default,simple,"Default Category,Default Category/Diabetes Care,Default Category/Diabetes Care/Test Strips",base,MediQuip G2 Blood Glucose Test Strips 600Ct,,,1.5,1,Taxable Goods,"Catalog, Search",25,,,,mediquip-g2-blood-glucose-test-strips-600-ct,MediQuip G2 Blood Glucose Test Strips 600Ct,MediQuip G2 Blood Glucose Test Strips 600Ct,MediQuip G2 Blood Glucose Test Strips 600Ct ,,,,,,,,,"12/3/22, 12:09 AM","12/3/22, 12:09 AM",,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,,100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
MSBNC1QT1CT,,Default,simple,"Default Category,Default Category/Diabetes Care,Default Category/Diabetes Care/Sharps Containers",base,MediQuip Sharps Biohazard Needle Container 1Qt 1Ct,,,1.25,1,Taxable Goods,"Catalog, Search",5,,,,mediquip-sharp-biohazard-needle-container,MediQuip Sharps Biohazard Needle Container 1Qt 1Ct,MediQuip Sharps Biohazard Needle Container 1Qt 1Ct,MediQuip Sharps Biohazard Needle Container 1Qt 1Ct ,,,,,,,,,"12/3/22, 12:12 AM","12/3/22, 12:12 AM",,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,,100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
MQMSC1G1CT,,Default,simple,"Default Category,Default Category/Diabetes Care,Default Category/Diabetes Care/Sharps Containers",base,MediQuip Multipurpose Sharps Container 1 Gallon 1Ct,,,6,1,Taxable Goods,"Catalog, Search",20,,,,mediquip-multipurpose-sharps-container,MediQuip Multipurpose Sharps Container 1 Gallon 1Ct,MediQuip Multipurpose Sharps Container 1 Gallon 1Ct,MediQuip Multipurpose Sharps Container 1 Gallon 1Ct ,,,,,,,,,"12/3/22, 12:15 AM","12/3/22, 12:15 AM",,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,,100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
MQSBNC1QT2CT,,Default,simple,"Default Category,Default Category/Diabetes Care,Default Category/Diabetes Care/Sharps Containers",base,MediQuip Sharps Biohazard Needle Container 1Qt 2Ct,,,12,1,Taxable Goods,"Catalog, Search",30,,,,mediquip-sharps-biohazard-needle-container,MediQuip Sharps Biohazard Needle Container 1Qt 2Ct,MediQuip Sharps Biohazard Needle Container 1Qt 2Ct,MediQuip Sharps Biohazard Needle Container 1Qt 2Ct ,,,,,,,,,"12/3/22, 12:17 AM","12/3/22, 12:17 AM",,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,,100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
MQDCK,,Default,grouped,"Default Category,Default Category/Diabetes Care,Default Category/Diabetes Care/Diabetes Monitors,Default Category/Diabetes Care/Lancets,Default Category/Diabetes Care/Test Strips,Default Category/Diabetes Care/Sharps Containers",base,MediQuip Diabetes Care Kit,,,,1,,"Catalog, Search",,,,,mediquip-diabetic-care-kit,MediQuip Diabetes Care Kit,MediQuip Diabetes Care Kit,MediQuip Diabetes Care Kit ,,,,,,,,,"12/3/22, 12:39 AM","12/3/22, 12:39 AM",,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,,,,0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,"MQG2BGM1C=0.000000,MQSUGPL=0.000000,MQALD=0.000000,MQG2BGTS50CT=0.000000,MSBNC1QT1CT=0.000000",,,,
